date,daily_request_count
2023-01-06,3812
2023-01-07,7075
2023-01-08,6759
2023-01-09,8589
2023-01-10,8550
2023-01-11,8612
2023-01-12,8092
2023-01-13,7790
2023-01-14,7166
2023-01-15,6835
2023-01-16,7053
2023-01-17,9287
2023-01-18,8530
2023-01-19,7986
2023-01-20,8127
2023-01-21,6699
2023-01-22,6449
2023-01-23,7987
2023-01-24,8851
2023-01-25,7863
2023-01-26,8940
2023-01-27,8178
2023-01-28,6936
2023-01-29,6998
2023-01-30,8455
2023-01-31,8381
2023-02-03,2621
2023-02-04,10925
2023-02-05,7868
2023-02-06,8847
2023-02-07,8703
2023-02-08,8309
2023-02-09,8232
2023-02-10,8031
2023-02-11,7045
2023-02-12,7037
2023-02-13,7740
2023-02-14,8027
2023-02-15,8490
2023-02-16,8077
2023-02-17,7747
2023-02-18,7200
2023-02-19,6630
2023-02-20,6588
2023-02-21,8022
2023-02-22,7637
2023-02-23,7729
2023-02-24,7821
2023-02-25,7372
2023-02-26,6787
2023-02-27,8399
2023-02-28,8116
2023-03-07,3003
2023-03-08,8780
2023-03-09,8916
2023-03-10,8016
2023-03-11,6535
2023-03-12,6792
2023-03-13,8134
2023-03-14,8565
2023-03-15,8670
2023-03-16,8488
2023-03-17,8488
2023-03-18,7098
2023-03-19,7150
2023-03-20,8995
2023-03-21,8808
2023-03-22,10070
2023-03-23,7993
2023-03-24,8607
2023-03-25,6762
2023-03-26,7259
2023-03-27,8411
2023-03-28,8719
2023-03-29,8896
2023-03-30,8658
2023-03-31,8187
2023-04-07,6003
2023-04-08,6950
2023-04-09,6301
2023-04-10,8208
2023-04-11,8212
2023-04-12,9007
2023-04-13,9109
2023-04-14,9520
2023-04-15,8223
2023-04-16,7995
2023-04-17,8759
2023-04-18,9101
2023-04-19,9224
2023-04-20,9035
2023-04-21,8426
2023-04-22,7388
2023-04-23,7705
2023-04-24,9034
2023-04-25,9567
2023-04-26,9003
2023-04-27,8375
2023-04-28,8477
2023-04-29,7727
2023-04-30,8651
2023-05-09,4168
2023-05-10,9106
2023-05-11,9154
2023-05-12,9687
2023-05-13,9538
2023-05-14,8672
2023-05-15,9362
2023-05-16,9200
2023-05-17,8882
2023-05-18,8788
2023-05-19,8863
2023-05-20,7005
2023-05-21,8943
2023-05-22,9504
2023-05-23,9214
2023-05-24,8581
2023-05-25,8452
2023-05-26,8710
2023-05-27,8033
2023-05-28,9013
2023-05-29,8240
2023-05-30,9820
2023-05-31,9065
2023-06-08,1040
2023-06-09,8012
2023-06-10,8595
2023-06-11,9502
2023-06-12,9294
2023-06-13,9335
2023-06-14,8337
2023-06-15,8992
2023-06-16,8622
2023-06-17,8469
2023-06-18,9358
2023-06-19,8533
2023-06-20,9824
2023-06-21,9689
2023-06-22,8871
2023-06-23,8880
2023-06-24,8837
2023-06-25,9572
2023-06-26,9623
2023-06-27,9265
2023-06-28,9321
2023-06-29,9357
2023-06-30,8672
2023-07-10,3776
2023-07-11,9611
2023-07-12,9762
2023-07-13,9683
2023-07-14,9092
2023-07-15,7855
2023-07-16,7665
2023-07-17,10000
2023-07-18,9726
2023-07-19,9637
2023-07-20,9770
2023-07-21,9275
2023-07-22,8757
2023-07-23,9441
2023-07-24,9992
2023-07-25,9738
2023-07-26,9373
2023-07-27,9521
2023-07-28,9570
2023-07-29,8516
2023-07-30,9313
2023-07-31,9927
2023-08-10,8296
2023-08-11,9340
2023-08-12,8733
2023-08-13,8926
2023-08-14,9703
2023-08-15,9301
2023-08-16,9373
2023-08-17,9327
2023-08-18,9991
2023-08-19,8996
2023-08-20,9339
2023-08-21,9502
2023-08-22,9128
2023-08-23,9039
2023-08-24,8061
2023-08-25,8469
2023-08-26,8934
2023-08-27,8783
2023-08-28,9473
2023-08-29,9177
2023-08-30,9141
2023-08-31,8968
2023-09-10,6312
2023-09-11,10284
2023-09-12,10468
2023-09-13,9607
2023-09-14,9836
2023-09-15,9529
2023-09-16,9307
2023-09-17,8952
2023-09-18,8808
2023-09-19,10025
2023-09-20,9687
2023-09-21,9684
2023-09-22,9656
2023-09-23,7007
2023-09-24,6687
2023-09-25,8116
2023-09-26,9199
2023-09-27,9234
2023-09-28,9191
2023-09-29,17962
2023-09-30,10449
2023-10-10,1157
2023-10-11,9617
2023-10-12,9418
2023-10-13,9760
2023-10-14,7390
2023-10-15,8322
2023-10-16,10863
2023-10-17,10623
2023-10-18,10049
2023-10-19,9865
2023-10-20,8418
2023-10-21,7765
2023-10-22,8427
2023-10-23,10893
2023-10-24,10108
2023-10-25,9504
2023-10-26,9724
2023-10-27,10092
2023-10-28,9059
2023-10-29,7833
2023-10-30,9790
2023-10-31,11323
2023-11-09,7790
2023-11-10,9289
2023-11-11,7908
2023-11-12,8799
2023-11-13,10683
2023-11-14,9759
2023-11-15,9596
2023-11-16,9251
2023-11-17,9194
2023-11-18,7917
2023-11-19,7795
2023-11-20,10252
2023-11-21,9463
2023-11-22,9158
2023-11-23,6243
2023-11-24,7465
2023-11-25,8057
2023-11-26,7813
2023-11-27,10347
2023-11-28,11382
2023-11-29,11502
2023-11-30,10337
2023-12-08,4339
2023-12-09,8110
2023-12-10,7342
2023-12-11,10193
2023-12-12,10938
2023-12-13,10308
2023-12-14,9719
2023-12-15,10242
2023-12-16,7803
2023-12-17,7163
2023-12-18,11259
2023-12-19,9986
2023-12-20,9703
2023-12-21,9056
2023-12-22,9172
2023-12-23,7153
2023-12-24,6421
2023-12-25,5596
2023-12-26,7867
2023-12-27,7629
2023-12-28,8166
2023-12-29,8146
2023-12-30,7000
2023-12-31,6689
2024-01-10,3780
2024-01-11,9664
2024-01-12,8900
2024-01-13,7487
2024-01-14,8108
2024-01-15,9178
2024-01-16,9652
2024-01-17,11684
2024-01-18,12554
2024-01-19,9362
2024-01-20,8186
2024-01-21,8748
2024-01-22,10429
2024-01-23,9706
2024-01-24,9092
2024-01-25,9605
2024-01-26,9281
2024-01-27,8047
2024-01-28,7330
2024-01-29,9833
2024-01-30,9934
2024-01-31,9440
2024-02-05,1892
2024-02-06,9472
2024-02-07,9073
2024-02-08,8848
2024-02-09,8478
2024-02-10,8108
2024-02-11,7345
2024-02-12,8852
2024-02-13,7373
2024-02-14,8273
2024-02-15,8485
2024-02-16,8424
2024-02-17,6423
2024-02-18,7110
2024-02-19,7582
2024-02-20,8593
